id|trad|simp|jyutping
536|下賤|下贱|haa6 zin6
537|下述|下述|haa6 seot6
538|下逐客令|下逐客令|haa6 zuk6 haak3 ling6
539|下部|下部|haa6 bou6
540|下里巴人|下里巴人|haa6 lei5 baa1 jan4
541|下間|下间|haa6 gaan3
542|下降|下降|haa6 gong3
543|下限|下限|haa6 haan6
544|下集|下集|haa6 zaap6
545|不乏其人|不乏其人|bat1 fat6 kei4 jan4
546|不予置評|不予置评|bat1 jyu5 zi3 ping4
547|不值一提|不值一提|bat1 zik6 jat1 tai4
548|不做|不做|bat1 zou6
549|不僅僅|不仅仅|bat1 gan2 gan2
550|不入虎穴|不入虎穴|bat1 jap6 fu2 jyut6
551|不公平|不公平|bat1 gung1 ping4
552|不出聲|不出声|bat1 ceot1 seng1
553|不厭其詳|不厌其详|bat1 jim3 kei4 coeng4
554|不可不|不可不|bat1 ho2 bat1
555|不可思議|不可思议|bat1 ho2 si1 ji5
556|不可想像|不可想象|bat1 ho2 soeng2 zoeng6
557|不同意|不同意|bat1 tung4 ji3
558|不喜歡|不喜欢|bat1 hei2 fun1
559|不單只|不单只|bat1 daan1 zi2
560|不單止|不单止|bat1 daan1 zi2
561|不堪入耳|不堪入耳|bat1 ham1 jap6 ji5
562|不堪回首|不堪回首|bat1 ham1 wui4 sau2
563|不堪造就|不堪造就|bat1 ham1 zou6 zau6
564|不多不少|不多不少|bat1 do1 bat1 siu2
565|不大不小|不大不小|bat1 daai6 bat1 siu2
566|不嬲|不嬲|bat1 nau1
567|不安|不安|bat1 on1
568|不小心駕駛|不小心驾驶|bat1 siu2 sam1 gaa3 sai2
569|不常|不常|bat1 soeng4
570|不幸的是|不幸的是|bat1 hang6 dik1 si6
571|不得好死|不得好死|bat1 dak1 hou2 sei2
572|不必|不必|bat1 bit1
573|不忠|不忠|bat1 zung1
574|不惑之年|不惑之年|bat1 waak6 zi1 nin4
575|不惡|不恶|bat1 ok3
576|不成問題|不成问题|bat1 sing4 man6 tai4
577|不成氣候|不成气候|bat1 sing4 hei3 hau6
578|不捨得|不舍得|bat1 se2 dak1
579|不摟|不搂|bat1 lau1
580|不敢|不敢|bat1 gam2
581|不文|不文|bat1 man4
582|不文物|不文物|bat1 man4 mat6
583|不日放映|不日放映|bat1 jat6 fong3 jing2
584|不景|不景|bat1 ging2
585|不景氣|不景气|bat1 ging2 hei3
586|不曉|不晓|bat1 hiu2
587|不溜|不溜|bat1 lau4
588|不濟事|不济事|bat1 zai3 si6
589|不為五斗米折腰|不为五斗米折腰|bat1 wai6 ng5 dau2 mai5 zit3 jiu1
590|不無道理|不无道理|bat1 mou4 dou6 lei5
591|不然的話|不然的话|bat1 jin4 dik1 waa6
592|不特只|不特只|bat1 dak6 zi2
593|不特止|不特止|bat1 dak6 zi2
594|不甘後人|不甘后人|bat1 gam1 hau6 jan4
595|不生性|不生性|bat1 saang1 sing3
596|不留|不留|bat1 lau4
597|不留意|不留意|bat1 lau4 ji3
598|不知好笑還是好怒|不知好笑还是好怒|bat1 zi1 hou2 siu3 waan4 si6 hou2 nou6
599|不知幾|不知几|bat1 zi1 gei2
600|不知幾爽|不知几爽|bat1 zi1 gei2 song2
601|不知所以|不知所以|bat1 zi1 so2 ji5
602|不知所謂|不知所谓|bat1 zi1 so2 wai6
603|不知道|不知道|bat1 zi1 dou6
604|不細|不细|bat1 sai3
605|不經不覺|不经不觉|bat1 ging1 bat1 gok3
606|不經濟|不经济|bat1 ging1 zai3
607|不緊要|不紧要|bat1 gan2 jiu3
608|不而|不而|bat1 ji4
609|不肖子孫|不肖子孙|bat1 ciu3 zi2 syun1
610|不肥不瘦|不肥不瘦|bat1 fei4 bat1 sau3
611|不肯|不肯|bat1 hang2
612|不能自拔|不能自拔|bat1 nang4 zi6 bat6
613|不至於|不至于|bat1 zi3 jyu1
614|不舉|不举|bat1 geoi2
615|不要面|不要面|bat1 jiu3 min6
616|不見得|不见得|bat1 gin3 dak1
617|不說不知|不说不知|bat1 syut3 bat1 zi1
618|不識|不识|bat1 sik1
619|不足為憑|不足为凭|bat1 zuk1 wai4 pang4
620|不過不失|不过不失|bat1 gwo3 bat1 sat1
621|不過如此|不过如此|bat1 gwo3 jyu4 ci2
622|丕烈|丕烈|pei1 lit6
623|丕績|丕绩|pei1 zek3
624|世|世|sai3
625|世侄|世侄|sai3 zat6
626|世叔|世叔|sai3 suk1
627|世姪|世侄|sai3 zat6
628|世態|世态|sai3 taai3
629|世界上|世界上|sai3 gaai3 soeng6
630|世界之窗站|世界之窗站|sai3 gaai3 zi1 coeng1 zaam6
631|世界仔|世界仔|sai3 gaai3 zai2
632|世界史|世界史|sai3 gaai3 si2
633|世界女|世界女|sai3 gaai3 neoi5
634|世界小姐|世界小姐|sai3 gaai3 siu2 ze2
635|世界市場|世界市场|sai3 gaai3 si5 coeng4
636|世界性|世界性|sai3 gaai3 sing3
637|世界歷史|世界历史|sai3 gaai3 lik6 si2
638|世界波|世界波|sai3 gaai3 bo1
639|世界盃|世界杯|sai3 gaai3 bui1
640|世界語言|世界语言|sai3 gaai3 jyu5 jin4
641|世界遺產|世界遗产|sai3 gaai3 wai4 caan2
642|世界銀行集團|世界银行集团|sai3 gaai3 ngan4 hong4 zaap6 tyun4
643|世紀之戰|世纪之战|sai3 gei2 zi1 zin3
644|世貿中心|世贸中心|sai3 mau6 zung1 sam1
645|丟低|丢低|diu6 dai1
646|丟假|丢假|diu1 gaa2
647|丟卒保車|丢卒保车|diu1 zeot1 bou2 ce1
648|丟架|丢架|diu1 gaa2
649|丟生|丢生|diu1 sang1
650|丟生晒|丢生晒|diu1 saang1 saai3
651|丟疏|丢疏|diu1 so1
652|丟疏咗|丢疏咗|diu1 so1 zo2
653|丟眼色|丢眼色|diu1 ngaan5 sik1
654|丟眼角|丢眼角|diu1 ngaan5 gok3
655|丟那媽|丢那妈|diu1 naa5 maa1
656|並未|并未|bing3 mei6
657|並肩作戰|并肩作战|bing6 gin1 zok3 zin3
658|並蒂|并蒂|bing6 dai3
659|丫|丫|aa1
660|中|中|zung1
661|中上層|中上层|zung1 soeng6 cang4
662|中上游|中上游|zung1 soeng6 jau4
663|中下|中下|zung1 haa6
664|中下游|中下游|zung1 haa6 jau4
665|中中哋|中中哋|zung1 zung1 dei2
666|中位|中位|zung1 wai6
667|中停|中停|zung1 ting4
668|中共總書記|中共总书记|zung1 gung6 zung2 syu1 gei3
669|中古時代|中古时代|zung1 gu2 si4 doi6
670|中史|中史|zung1 si2
671|中國人|中国人|zung1 gwok3 jan4
672|中國人民|中国人民|zung1 gwok3 jan4 man4
673|中國共產黨中央委員會總書記|中国共产党中央委员会总书记|zung1 gwok3 gung6 caan2 dong2 zung1 joeng1 wai2 jyun4 wui2 zung2 syu1 gei3
674|中國共產黨中央政治局|中国共产党中央政治局|zung1 gwok3 gung6 caan2 dong2 zung1 joeng1 zing3 zi6 guk6
675|中國共產黨中央政治局常務委員會|中国共产党中央政治局常务委员会|zung1 gwok3 gung6 caan2 dong2 zung1 joeng1 zing3 zi6 guk6 soeng4 mou6 wai2 jyun4 wui2
676|中國功夫|中国功夫|zung1 gwok3 gung1 fu1
677|中國南方航空公司|中国南方航空公司|zung1 gwok3 naam4 fong1 hong4 hung1 gung1 si1
678|中國南方航空股份有限公司|中国南方航空股份有限公司|zung1 gwok3 naam4 fong1 hong4 hung1 gu2 fan6 jau5 haan6 gung1 si1
679|中國史|中国史|zung1 gwok3 si2
680|中國四大發明|中国四大发明|zung1 gwok3 sei3 daai6 faat3 ming4
681|中國國家圖書館|中国国家图书馆|zung1 gwok3 gwok3 gaa1 tou4 syu1 gun2
682|中國大陸|中国大陆|zung1 gwok3 daai6 luk6
683|中國字|中国字|zung1 gwok3 zi6
684|中國政府|中国政府|zung1 gwok3 zing3 fu2
685|中國文化|中国文化|zung1 gwok3 man4 faa3
686|中國文學|中国文学|zung1 gwok3 man4 hok6
687|中國歷史|中国历史|zung1 gwok3 lik6 si2
688|中國石油天然氣股份有限公司|中国石油天然气股份有限公司|zung1 gwok3 sek6 jau4 tin1 jin4 hei3 gu2 fan6 jau5 haan6 gung1 si1
689|中國網絡審查|中国网络审查|zung1 gwok3 mong5 lok6 sam2 caa4
690|中國語|中国语|zung1 gwok3 jyu5
691|中國象棋|中国象棋|zung1 gwok3 zoeng6 kei4
692|中國音樂|中国音乐|zung1 gwok3 jam1 ngok6
693|中國香港|中国香港|zung1 gwok3 hoeng1 gong2
694|中坑|中坑|zung1 haang1
695|中堂|中堂|zung1 tong4
696|中場休息|中场休息|zung1 coeng4 jau1 sik1
697|中大|中大|zung1 daai6
698|中央圖書館|中央图书馆|zung1 joeng1 tou4 syu1 gun2
699|中央處理器|中央处理器|zung1 joeng1 cyu2 lei5 hei3
700|中女|中女|zung1 neoi5
701|中學|中学|zung1 hok6
702|中學教師|中学教师|zung1 hok6 gaau3 si1
703|中學會考|中学会考|zung1 hok6 wui6 haau2
704|中學雞|中学鸡|zung1 hok6 gai1
705|中小|中小|zung1 siu2
706|中山路|中山路|zung1 saan1 lou6
707|中州|中州|zung1 zau1
708|中年人|中年人|zung1 nin4 jan4
709|中庸之道|中庸之道|zung1 jung4 zi1 dou3
710|中心|中心|zung1 sam1
711|中心內容|中心内容|zung1 sam1 noi6 jung4
712|中心思想|中心思想|zung1 sam1 si1 soeng2
713|中文大學|中文大学|zung1 man4 daai6 hok6
714|中文字|中文字|zung1 man4 zi6
715|中文數字|中文数字|zung1 man4 sou3 zi6
716|中文系|中文系|zung1 man4 hai6
717|中更|中更|zung1 gang1
718|中樂|中乐|zung1 ngok6
719|中檔|中档|zung1 dong3
720|中環中心|中环中心|zung1 waan4 zung1 sam1
721|中環廣場|中环广场|zung1 waan4 gwong2 coeng4
722|中環街市|中环街市|zung1 waan4 gaai1 si5
723|中用|中用|zung1 jung6
724|中碼|中码|zung1 maa5
725|中立國家|中立国家|zung1 laap6 gwok3 gaa1
726|中等|中等|zung1 dang2
727|中美關係|中美关系|zung1 mei5 gwaan1 hai6
728|中美高|中美高|zung1 mei5 gou1
729|中耕|中耕|zung1 gaang1
730|中肯|中肯|zung3 hang2
731|中腦|中脑|zung1 nou5
732|中英聯合聲明|中英联合声明|zung1 jing1 lyun4 hap6 sing1 ming4
733|中菜|中菜|zung1 coi3
734|中華人民共和國主席|中华人民共和国主席|zung1 waa4 jan4 man4 gung6 wo4 gwok3 zyu2 zik6
735|中華人民共和國國務院|中华人民共和国国务院|zung1 waa4 jan4 man4 gung6 wo4 gwok3 gwok3 mou6 jyun2
736|中華人民共和國國徽|中华人民共和国国徽|zung1 waa4 jan4 man4 gung6 wo4 gwok3 gwok3 fai1
737|中華人民共和國香港特別行政區|中华人民共和国香港特别行政区|zung1 waa4 jan4 man4 gung6 wo4 gwok3 hoeng1 gong2 dak6 bit6 hang4 zing3 keoi1
738|中華巴士|中华巴士|zung1 waa4 baa1 si6
739|中華民族|中华民族|zung1 waa4 man4 zuk6
740|中華白海豚|中华白海豚|zung1 waa4 baak6 hoi2 tyun4
741|中華航空|中华航空|zung1 waa4 hong4 hung1
742|中華英雄|中华英雄|zung1 waa4 jing1 hung4
743|中蛇|中蛇|zung3 se4
744|中褸|中褛|zung1 lau1
745|中資集團|中资集团|zung1 zi1 zaap6 tyun4
746|中途宿舍|中途宿舍|zung1 tou4 suk1 se3
747|中部國際機場|中部国际机场|zung1 bou6 gwok3 zai3 gei1 coeng4
748|中醫藥|中医药|zung1 ji1 joek6
749|中銀大廈|中银大厦|zung1 ngan4 daai6 haa6
750|中間人|中间人|zung1 gaan1 jan4
751|中間界|中间界|zung1 gaan1 gaai3
752|中電|中电|zung1 din6
753|中頻|中频|zung1 pan4
754|中飛|中飞|zung3 fei1
755|串|串|cyun3
756|串仔|串仔|cyun3 zi2
757|串埋|串埋|cyun3 maai4
758|串女|串女|cyun3 neoi5
759|串字|串字|cyun3 zi6
760|串講|串讲|cyun3 gong2
761|丸仔|丸仔|jyun2 zai2
762|丹墀|丹墀|daan1 ci4
763|丹尼士巨龍|丹尼士巨龙|daan1 nei4 si6 geoi6 lung4
764|主人房|主人房|zyu2 jan4 fong2
765|主任|主任|zyu2 jam6
766|主使|主使|zyu2 si2
767|主修科目|主修科目|zyu2 sau1 fo1 muk6
768|主力牆|主力墙|zyu2 lik6 coeng4
769|主力軍|主力军|zyu2 lik6 gwan1
770|主動|主动|zyu2 dung6
771|主動權|主动权|zyu2 dung6 kyun4
772|主唱|主唱|zyu2 coeng3
773|主婚|主婚|zyu2 fan1
774|主婦手|主妇手|zyu2 fu5 sau2
775|主將|主将|zyu2 zoeng3
776|主帥|主帅|zyu2 seoi3
777|主持正義|主持正义|zyu2 ci4 zing3 ji6
778|主教山|主教山|zyu2 gaau3 saan1
779|主旨|主旨|zyu2 zi2
780|主根|主根|zyu2 gan1
781|主次|主次|zyu2 ci3
782|主治|主治|zyu2 zi6
783|主禮|主礼|zyu2 lai5
784|主筆|主笔|zyu2 bat1
785|主考|主考|zyu2 haau2
786|主腦|主脑|zyu2 nou5
787|主要|主要|zyu2 jiu3
788|主要原因|主要原因|zyu2 jiu3 jyun4 jan1
789|主要指標|主要指标|zyu2 jiu3 zi2 biu1
790|主謀|主谋|zyu2 mau4
791|主辦單位|主办单位|zyu2 baan6 daan1 wai2
792|主題公園|主题公园|zyu2 tai4 gung1 jyun4
793|主題樂園|主题乐园|zyu2 tai4 lok6 jyun4
794|乃念|乃念|naai5 nim6
795|久一…久二…|久一…久二…|gau2 jat1 …gau2 ji6…
796|久不久|久不久|gau2 bat1 gau2
797|久唔久|久唔久|gau2 m4 gau2
798|之|之|zi1
799|之不過|之不过|zi1 bat1 gwo3
800|之但係|之但系|zi1 daan6 hai6
801|之先|之先|zi1 sin1
802|之嘛|之嘛|zi1 maa3
803|之字線|之字线|zi1 zi6 sin3
804|之餘|之余|zi1 jyu4
805|尹光|尹光|wan5 gwong1
806|尹天照|尹天照|wan5 tin1 ziu3
807|尹揚明|尹扬明|wan5 joeng4 ming4
808|乍到|乍到|zaa3 dou3
809|乍暖還寒|乍暖还寒|zaa3 nyun5 waan4 hon4
810|乏人問津|乏人问津|fat6 jan4 man6 zeon1
811|乏善足陳|乏善足陈|fat6 sin6 zuk1 can4
812|乒乒乓乓|乒乒乓乓|ping1 ping1 pong1 pong1
813|乒乓波|乒乓波|bing1 bam1 bo1
814|乒鈴𠾴唥|乒鈴𠾴唥|ping1 ling1 baang4 laang4
815|乖乖|乖乖|gwaai1 gwaai1
816|乖乖仔|乖乖仔|gwaai1 gwaai1 zai2
817|乖乖女|乖乖女|gwaai1 gwaai1 neoi5
818|乖仔|乖仔|gwaai1 zai2
819|乖女|乖女|gwaai1 neoi5
820|乖舛|乖舛|gwaai1 cyun2
821|乖豬|乖猪|gwaai1 zyu1
822|乘搭|乘搭|sing4 daap3
823|乙部|乙部|jyut3 bou6
824|乜|乜|me1
825|乜乜物物|乜乜物物|mat1 mat1 mat6 mat6
826|乜事|乜事|mat1 si6
827|乜人|乜人|me1 jan4
828|乜嘢話|乜嘢话|mat1 je5 waa2
829|乜春|乜春|mat1 ceon1
830|乜東東|乜东东|mat1 dung1 dung1
831|乜水|乜水|me1 seoi2
832|乜滯|乜滞|mat1 zai6
833|乜花款|乜花款|mat1 faa1 fun2
834|乜說話|乜说话|me1 syut3 waa6
835|乜誰|乜谁|mat1 seoi2
836|乜都|乜都|me1 dou1
837|乜都假|乜都假|mat1 dou1 gaa2
838|乜都得|乜都得|mat1 dou1 dak1
839|乜野|乜野|me1 je5
840|乜頭乜路|乜头乜路|mat1 tau4 mat1 lou6
841|乜鬼|乜鬼|mat1 gwai2
842|九|九|gau2
843|九七年|九七年|gau2 cat1 nin4
844|九九金|九九金|gau2 gau2 gam1
845|九個字|九个字|gau2 go3 zi6
846|九出十三歸|九出十三归|gau2 ceot1 sap6 saam1 gwai1
847|九十九|九十九|gau2 sap6 gau2
848|九十年代|九十年代|gau2 sap6 nin4 doi6
849|九千|九千|gau2 cin1
850|九唔搭八|九唔搭八|gau2 m4 daap3 baat3
851|九因歌|九因歌|gau2 jan1 go1
852|九大簋|九大簋|gau2 daai6 gwai2
853|九子連環|九子连环|gau2 zi2 lin4 waan4
854|九宮格|九宫格|gau2 gung1 gaak3
855|九廣西鐵|九广西铁|gau2 gwong2 sai1 tit3
856|九廣鐵路|九广铁路|gau2 gwong2 tit3 lou6
857|九廣鐵路公司|九广铁路公司|gau2 gwong2 tit3 lou6 gung1 si1
858|九廿幾|九廿几|gau2 jaa6 gei2
859|九成九|九成九|gau2 sing4 gau2
860|九方輸入法|九方输入法|gau2 fong1 syu1 jap6 faat3
861|九族|九族|gau2 zuk6
862|九日|九日|gau2 jat6
863|九曲十三彎|九曲十三弯|gau2 kuk1 sap6 saam1 waan1
864|九江煎堆|九江煎堆|gau2 gong1 zin1 deoi1
865|九肚魚|九肚鱼|gau2 tou5 jyu4
866|九針群島|九针群岛|gau2 zam1 kwan4 dou2
867|九鐵|九铁|gau2 tit3
868|九點鐘|九点钟|gau2 dim2 zung1
869|九龍公園|九龙公园|gau2 lung4 gung1 jyun4
870|九龍城區|九龙城区|gau2 lung4 sing4 keoi1
871|九龍城寨公園|九龙城寨公园|gau2 lung4 sing4 zaai6 gung1 jyun4
872|九龍塘|九龙塘|gau2 lung4 tong4
873|九龍山|九龙山|gau2 lung4 saan1
874|九龍巴士|九龙巴士|gau2 lung4 baa1 si6
875|九龍水塘|九龙水塘|gau2 lung4 seoi2 tong4
876|九龍清真寺|九龙清真寺|gau2 lung4 cing1 zan1 zi6
877|九龍灣|九龙湾|gau2 lung4 waan1
878|九龍醫院|九龙医院|gau2 lung4 ji1 jyun2
879|乞人憎|乞人憎|hat1 jan4 zang1
880|乞兒相|乞儿相|hat1 ji4 soeng3
881|乞嗤|乞嗤|hat1 ci1
882|乞米|乞米|hat1 mai5
883|乞衣|乞衣|hat1 ji1
884|乞降|乞降|hat1 gong3
885|乞靈|乞灵|hat1 ling4
886|也不|也不|jaa5 bat1
887|也好|也好|jaa5 hou2
888|也文也武|也文也武|jaa5 man4 jaa5 mou5
889|也是|也是|jaa5 si6
890|也與|也与|jaa5 jyu5
891|乳名|乳名|jyu5 meng2
892|乳糖消化不良|乳糖消化不良|jyu5 tong4 siu1 faa3 bat1 loeng4
893|乳餅|乳饼|jyu5 beng2
894|乳鴿|乳鸽|jyu5 gaap3
895|乳齒象|乳齿象|jyu5 ci2 zoeng6
896|乸|乸|naa2
897|乸型|乸型|naa2 jing4
898|乸聲乸氣|乸声乸气|naa2 seng1 naa2 hei3
899|乸脷|乸脷|naa2 lei6
900|乾|干|gon1
901|乾凈|干净|gon1 zeng6
902|乾包|干包|gon1 baau1
903|乾噌噌|干噌噌|gon1 zang1 zang1
904|乾塘|干塘|gon1 tong4
905|乾工|干工|gon1 gung1
906|乾巴|干巴|gon1 baa1
907|乾手淨腳|干手淨脚|gon1 sau2 zeng6 goek3
908|乾時緊月|干时紧月|gon1 si4 gan2 jyut6
909|乾柴烈火|干柴烈火|gon1 caai4 lit6 fo2
910|乾水|干水|gon1 seoi2
911|乾洗店|干洗店|gon1 sai2 dim3
912|乾淨企理|干净企理|gon1 zeng6 kei5 lei5
913|乾濕褸|干湿褛|gon1 sap1 lau1
914|乾炒|干炒|gon1 caau2
915|乾炒牛河|干炒牛河|gon1 caau2 ngau4 ho4
916|乾燒伊麵|干烧伊面|gon1 siu1 ji1 min6
917|乾爭爭|干争争|gon1 zang1 zang1
918|乾瑤柱|干瑶柱|gon1 jiu4 cyu5
919|乾萌萌|干萌萌|gon1 mang4 mang4
920|乾衣機|干衣机|gon1 ji1 gei1
921|乾電|干电|gon1 din6
922|乾電池|干电池|gon1 din6 ci4
923|乾骾骾|干鲠鲠|gon1 gang2 gang2
924|乾鯁|干鲠|gon1 gang2
925|乾鯁鯁|干鲠鲠|gon1 gang2 gang2
926|亂|乱|lyun6
927|亂七八糟|乱七八糟|lyun6 cat1 baat3 zou1
928|亂作一團|乱作一团|lyun6 zok3 jat1 tyun4
929|亂來|乱来|lyun6 lai4
930|亂咁|乱咁|lyun6 gam3
931|亂咁舂|乱咁舂|lyun6 gam3 zung1
932|亂噏|乱噏|lyun2 ngap1
933|亂噏廿四|乱噏廿四|lyun6 ngap1 jaa6 sei3
934|亂嚟|乱嚟|lyun2 lei4
935|亂子|乱子|lyun6 zi2
936|亂揈|乱轰|lyun6 gwang1
937|亂晒坑|乱晒坑|lyun6 saai3 haang1
938|亂晒籠|乱晒笼|lyun6 saai3 lung4
939|亂用|乱用|lyun6 jung6
940|亂立立|乱立立|lyun6 lap6 lap2
941|亂籠|乱笼|lyun6 lung4
942|亂葬崗|乱葬岗|lyun6 zong3 gong1
943|亂諗嘢|乱谂嘢|lyun6 nam2 je5
944|亂講無為|乱讲无为|lyun6 gong2 mou4 wai6
945|亂車廿四|乱车廿四|lyun6 ce1 jaa6 sei3
946|亂逛|乱逛|lyun6 gwaang6
947|亂過亂世佳人|乱过乱世佳人|lyun6 gwo3 lyun6 sai3 gaai1 jan4
948|亂離|乱离|lyun6 lei4
949|亂龍|乱龙|lyun2 lung4
950|了不得|了不得|liu5 bat1 dak1
951|了哥|了哥|liu1 go1
952|了望|了望|liu5 mong6
953|事|事|si6
954|事不關己，己不勞心|事不关己，己不劳心|si6 bat1 gwaan1 gei2, gei2 bat1 lou4 sam1
955|事主|事主|si6 zyu2
956|事乾|事干|si6 gon1
957|事先|事先|si6 sin1
958|事出有因|事出有因|si6 ceot1 jau5 jan1
959|事實|事实|si6 sat6
960|事幹|事干|si6 gon3
961|事後孔明|事后孔明|si6 hau6 hung2 ming4
962|事急馬行田|事急马行田|si6 gap1 maa5 haang4 tin4
963|事發|事发|si6 faat3
964|事頭|事头|si6 tau2
965|事頭婆|事头婆|si6 tau4 po4
966|二世祖|二世祖|ji6 sai3 zou2
967|二五仔|二五仔|ji6 ng5 zai2
968|二仔底|二仔底|ji6 zi2 dai2
969|二偈|二偈|ji6 gai6
970|二傳手|二传手|ji6 cyun4 sau2
971|二十一|二十一|ji6 sap6 jat1
972|二十一日|二十一日|ji6 sap6 jat1 jat6
973|二十七日|二十七日|ji6 sap6 cat1 jat6
974|二十三日|二十三日|ji6 sap6 saam1 jat6
975|二十九日|二十九日|ji6 sap6 gau2 jat6
976|二十二|二十二|ji6 sap6 ji6
977|二十二日|二十二日|ji6 sap6 ji6 jat6
978|二十五日|二十五日|ji6 sap6 ng5 jat6
979|二十八日|二十八日|ji6 sap6 baat3 jat6
980|二十六日|二十六日|ji6 sap6 luk6 jat6
981|二十四日|二十四日|ji6 sap6 sei3 jat6
982|二十日|二十日|ji6 sap6 jat6
983|二千|二千|ji6 cin1
984|二叔|二叔|ji6 suk1
985|二叔公|二叔公|ji6 suk1 gung1
986|二叔婆|二叔婆|ji6 suk1 po4
987|二奶仔|二奶仔|ji6 naai zai2
988|二奶命|二奶命|ji6 naai1 meng6
989|二手市場|二手市场|ji6 sau2 si5 coeng4
990|二打六|二打六|ji6 daa2 luk6
991|二撇雞|二撇鸡|ji6 pit3 gai1
992|二日|二日|ji6 jat6
993|二毫|二毫|ji6 hou4
994|二百|二百|ji6 baak3
995|二花面|二花面|ji6 faa1 min6
996|二進位|二进位|ji6 zeon3 wai2
997|二進位制|二进位制|ji6 zeon3 wai2 zai3
998|二點鐘|二点钟|ji6 dim2 zung1
999|于思|于思|jyu1 si1
1000|互市|互市|wu6 si5
1001|互相幫助|互相帮助|wu6 soeng1 bong1 zo6
1002|互聯網協議|互联网协议|wu6 lyun4 mong5 hip3 ji5
1003|五一勞動節|五一劳动节|ng5 jat1 lou4 dung6 zit3
1004|五五波|五五波|ng5 ng5 bo1
1005|五個字|五个字|ng5 go3 zi6
1006|五內|五内|ng5 noi6
1007|五十五|五十五|ng5 sap6 ng5
1008|五千|五千|ng5 cin1
1009|五味架|五味架|ng5 mei6 gaa2
1010|五山|五山|ng5 saan1
1011|五山站|五山站|ng5 saan1 zaam6
1012|五年|五年|ng5 nin4
1013|五指|五指|ng5 zi2
1014|五日|五日|ng5 jat6
1015|五時花六時變|五时花六时变|ng5 si4 faa1 luk6 si4 bin3
1016|五月茶|五月茶|ng5 jyut6 caa4
1017|五服|五服|ng5 fuk6
1018|五枝旗杆|五枝旗杆|ng5 zi1 kei4 gon1
1019|五柳魚|五柳鱼|ng5 lau5 jyu4
1020|五桶櫃|五桶柜|ng5 tung2 gwai6
1021|五爪金龍|五爪金龙|ng5 zaau2 gam1 lung4
1022|五百|五百|ng5 baak3
1023|五稜鏡|五棱镜|ng5 ling4 geng3
1024|五窮六絕|五穷六绝|ng5 kung4 luk6 zyut6
1025|五花茶|五花茶|ng5 faa1 caa4
1026|五蛇羹|五蛇羹|ng5 se4 gang1
1027|五行欠打|五行欠打|ng5 hang4 him3 daa2
1028|五行欠水|五行欠水|ng5 hang4 him3 seoi2
1029|五行缺水|五行缺水|ng5 hang4 kyut3 seoi2
1030|五邑|五邑|ng5 jap1
1031|五金舖|五金铺|ng5 gam1 pou3
1032|五金鋪|五金铺|ng5 gam1 pou3
1033|五顏六色|五颜六色|ng5 ngaan4 luk6 sik1
1034|五餅二魚|五饼二鱼|ng5 beng2 ji6 jyu4
1035|五馬分屍|五马分尸|ng5 maa5 fan1 si1
1036|五點鐘|五点钟|ng5 dim2 zung1
1037|井底之蛙|井底之蛙|zeng2 dai2 zi1 waa1
1038|井欄|井栏|zeng2 laan4
1039|井水|井水|zeng2 seoi2
1040|井鹽|井盐|zeng2 jim4
1041|些少|些少|se1 siu2
1042|些微|些微|se1 mei4
1043|亞仔|亚仔|aa3 zai2
1044|亞太地區|亚太地区|aa3 taai3 dei6 keoi1
1045|亞奀|亚奀|aa3 ngan1
1046|亞女|亚女|aa3 neoi5
1047|亞奶|亚奶|aa3 naai5
1048|亞妹|亚妹|aa3 mui6
1049|亞姑|亚姑|aa3 gu1
1050|亞姨|亚姨|aa3 ji4
1051|亞婆|亚婆|aa3 po4
1052|亞媽|亚妈|aa3 maa1
1053|亞嫂|亚嫂|aa3 sou2
1054|亞嬸|亚婶|aa3 sam2
1055|亞庇|亚庇|aa3 bei3
1056|亞氏保加症|亚氏保加症|aa3 si6 bou2 gaa1 zing3
1057|亞洲台|亚洲台|aa3 zau1 toi4
1058|亞洲四小龍|亚洲四小龙|aa3 zau1 sei3 siu2 lung4
